age,sex,region,EURef2016,education_level,work_stat,work_type,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
69,"Woman","Yorkshire and the Humber","Leave","Teaching qualification (not degree)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Neither positive nor negative","Fairly well",8,"a Leaver"
35,"Woman","London","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Fairly well",2,"a Remainer"
60,"Man","East Midlands","Remain","Other technical, professional or higher qualification","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
58,"Woman","Yorkshire and the Humber","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Very positive effect","Somewhat positive effect","Very well",10,"a Leaver"
69,"Woman","West Midlands","Leave","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Don't know","Don't know","Very badly",9,"Neither a Leaver nor a Remainer"
68,"Woman","East Midlands","Leave","Clerical and commercial","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly well",10,"a Leaver"
62,"Man","West Midlands","Leave","GCE A level or Higher Certificate","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Neither positive nor negative","Very well",5,"a Leaver"
72,"Woman","East of England","Leave","City & Guilds certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Somewhat positive effect","Fairly well",5,"a Leaver"
75,"Man","London","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Very well",7,"a Leaver"
72,"Man","East of England","Leave","City & Guilds certificate - advanced","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Neither positive nor negative","Fairly well",8,"a Leaver"
58,"Man","South East","Leave","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Very well",9,"a Leaver"
56,"Man","London","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
58,"Woman","Yorkshire and the Humber","Leave","Don't know","Not working","Other","Very positive effect","Very positive effect","Fairly well",8,"a Leaver"
71,"Man","West Midlands","Leave","City & Guilds certificate","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
67,"Woman","Wales","Leave","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","Retired","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Somewhat positive effect","Fairly well",7,"Neither a Leaver nor a Remainer"
45,"Man","London","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Somewhat positive effect","Fairly well",5,"a Leaver"
48,"Woman","South East","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working part time (8-29 hours a week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
72,"Man","West Midlands","Remain","ONC","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Fairly badly",3,"a Remainer"
67,"Man","West Midlands","Leave","Recognised trade apprenticeship completed","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Somewhat positive effect","Fairly well",7,"a Leaver"
75,"Man","South East","Leave","No formal qualifications","Working part time (8-29 hours a week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
68,"Woman","South West","Cannot remember","University diploma","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Don't know","Don't know","Don't know",5,"a Leaver"
53,"Woman","East of England","Leave","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Neither positive nor negative","Don't know",5,"Neither a Leaver nor a Remainer"
59,"Man","North West","Leave","GCE A level or Higher Certificate","Retired","Other","Very positive effect","Neither positive nor negative","Very well",10,"a Leaver"
44,"Man","West Midlands","Did not vote","University diploma","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Don't know","Fairly badly",3,"Neither a Leaver nor a Remainer"
55,"Man","North West","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Don't know","Somewhat negative effect","Don't know",7,"Neither a Leaver nor a Remainer"
45,"Woman","South West","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
74,"Man","Yorkshire and the Humber","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Very positive effect","Very well",10,"Neither a Leaver nor a Remainer"
41,"Woman","North West","Remain","Teaching qualification (not degree)","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Fairly badly",5,"a Remainer"
45,"Man","North East","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Very negative effect","Very badly",3,"a Remainer"
74,"Man","Yorkshire and the Humber","Leave","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Very positive effect","Very well",7,"a Leaver"
88,"Man","North West","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working part time (8-29 hours a week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Neither positive nor negative","Fairly badly",2,"a Remainer"
53,"Woman","Yorkshire and the Humber","Did not vote","City & Guilds certificate","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Very badly",5,"a Remainer"
